StockPrice,Strike,LastPrice,Maturity
228.47,5.0,218.34,0.000000
228.47,10.0,217.5,0.000000
228.47,15.0,212.95,0.000000
228.47,20.0,202.6,0.000000
228.47,25.0,202.1,0.000000
228.47,30.0,202.45,0.000000
228.47,40.0,188.05,0.000000
228.47,50.0,177.63,0.000000
228.47,55.0,115.75,0.000000
228.47,65.0,162.7,0.000000
228.47,70.0,160.8,0.000000
228.47,75.0,155.68,0.000000
228.47,80.0,147.63,0.000000
228.47,85.0,131.75,0.000000
228.47,90.0,137.1,0.000000
228.47,95.0,132.6,0.000000
228.47,100.0,131.9,0.000000
228.47,105.0,126.1,0.000000
228.47,110.0,117.09,0.000000
228.47,115.0,118.6,0.000000
228.47,120.0,114.2,0.000000
228.47,125.0,101.89,0.000000
228.47,130.0,94.57,0.000000
228.47,135.0,92.45,0.000000
228.47,140.0,86.15,0.000000
228.47,145.0,78.88,0.000000
228.47,150.0,73.15,0.000000
228.47,155.0,69.5,0.000000
228.47,160.0,67.52,0.000000
228.47,165.0,61.79,0.000000
228.47,170.0,58.04,0.000000
228.47,175.0,53.59,0.000000
228.47,180.0,47.04,0.000000
228.47,185.0,43.55,0.000000
228.47,190.0,38.65,0.000000
228.47,192.5,32.8,0.000000
228.47,195.0,33.58,0.000000
228.47,197.5,27.02,0.000000
228.47,200.0,28.65,0.000000
228.47,202.5,24.55,0.000000
228.47,205.0,23.45,0.000000
228.47,207.5,18.55,0.000000
228.47,210.0,18.75,0.000000
228.47,212.5,14.7,0.000000
228.47,215.0,13.8,0.000000
228.47,217.5,11.05,0.000000
228.47,220.0,8.69,0.000000
228.47,222.5,6.35,0.000000
228.47,225.0,3.9,0.000000
228.47,227.5,1.9,0.000000
228.47,230.0,0.62,0.000000
228.47,232.5,0.13,0.000000
228.47,235.0,0.03,0.000000
228.47,237.5,0.01,0.000000
228.47,240.0,0.01,0.000000
228.47,242.5,0.01,0.000000
228.47,245.0,0.01,0.000000
228.47,247.5,0.01,0.000000
228.47,250.0,0.01,0.000000
228.47,252.5,0.01,0.000000
228.47,255.0,0.01,0.000000
228.47,257.5,0.01,0.000000
228.47,260.0,0.01,0.000000
228.47,265.0,0.01,0.000000
228.47,270.0,0.01,0.000000
228.47,275.0,0.01,0.000000
228.47,280.0,0.01,0.000000
228.47,285.0,0.01,0.000000
228.47,290.0,0.01,0.000000
228.47,295.0,0.01,0.000000
228.47,300.0,0.01,0.000000
228.47,305.0,0.01,0.000000
228.47,310.0,0.01,0.000000
228.47,315.0,0.01,0.000000
228.47,320.0,0.01,0.000000
228.47,330.0,0.01,0.000000
228.47,340.0,0.01,0.000000
228.47,350.0,0.01,0.000000
228.47,360.0,0.01,0.000000
228.47,370.0,0.01,0.000000
228.47,100.0,122.0,0.019178
228.47,130.0,97.82,0.019178
228.47,135.0,92.99,0.019178
228.47,140.0,87.13,0.019178
228.47,145.0,91.1,0.019178
228.47,150.0,74.0,0.019178
228.47,160.0,67.54,0.019178
228.47,165.0,59.2,0.019178
228.47,170.0,57.15,0.019178
228.47,175.0,52.14,0.019178
228.47,180.0,47.23,0.019178
228.47,185.0,43.0,0.019178
228.47,190.0,38.36,0.019178
228.47,195.0,33.45,0.019178
228.47,197.5,29.15,0.019178
228.47,200.0,28.98,0.019178
228.47,202.5,26.46,0.019178
228.47,205.0,23.71,0.019178
228.47,207.5,16.54,0.019178
228.47,210.0,18.5,0.019178
228.47,212.5,15.5,0.019178
228.47,215.0,14.05,0.019178
228.47,217.5,11.65,0.019178
228.47,220.0,9.2,0.019178
228.47,222.5,7.09,0.019178
228.47,225.0,5.09,0.019178
228.47,227.5,3.4,0.019178
228.47,230.0,2.11,0.019178
228.47,232.5,1.21,0.019178
228.47,235.0,0.65,0.019178
228.47,237.5,0.31,0.019178
228.47,240.0,0.16,0.019178
228.47,242.5,0.08,0.019178
228.47,245.0,0.05,0.019178
228.47,247.5,0.03,0.019178
228.47,250.0,0.02,0.019178
228.47,252.5,0.02,0.019178
228.47,255.0,0.01,0.019178
228.47,257.5,0.01,0.019178
228.47,260.0,0.01,0.019178
228.47,265.0,0.01,0.019178
228.47,270.0,0.01,0.019178
228.47,275.0,0.01,0.019178
228.47,280.0,0.02,0.019178
228.47,285.0,0.01,0.019178
228.47,290.0,0.01,0.019178
228.47,295.0,0.01,0.019178
228.47,300.0,0.01,0.019178
228.47,100.0,130.05,0.038356
228.47,115.0,111.68,0.038356
228.47,135.0,99.7,0.038356
228.47,140.0,96.5,0.038356
228.47,145.0,86.18,0.038356
228.47,150.0,73.0,0.038356
228.47,155.0,66.15,0.038356
228.47,165.0,59.44,0.038356
228.47,170.0,54.49,0.038356
228.47,175.0,52.51,0.038356
228.47,180.0,45.37,0.038356
228.47,185.0,39.13,0.038356
228.47,190.0,36.78,0.038356
228.47,195.0,33.03,0.038356
228.47,200.0,28.65,0.038356
228.47,205.0,22.15,0.038356
228.47,210.0,18.8,0.038356
228.47,215.0,14.4,0.038356
228.47,220.0,9.83,0.038356
228.47,225.0,5.8,0.038356
228.47,230.0,2.87,0.038356
228.47,235.0,1.16,0.038356
228.47,240.0,0.39,0.038356
228.47,245.0,0.13,0.038356
228.47,250.0,0.05,0.038356
228.47,255.0,0.03,0.038356
228.47,260.0,0.03,0.038356
228.47,265.0,0.02,0.038356
228.47,270.0,0.01,0.038356
228.47,275.0,0.02,0.038356
228.47,280.0,0.01,0.038356
228.47,285.0,0.01,0.038356
228.47,290.0,0.04,0.038356
228.47,295.0,0.01,0.038356
228.47,300.0,0.01,0.038356
228.47,135.0,87.35,0.057534
228.47,140.0,87.43,0.057534
228.47,145.0,77.97,0.057534
228.47,150.0,77.73,0.057534
228.47,155.0,71.4,0.057534
228.47,175.0,49.95,0.057534
228.47,180.0,43.9,0.057534
228.47,185.0,38.0,0.057534
228.47,190.0,38.89,0.057534
228.47,195.0,32.71,0.057534
228.47,200.0,29.0,0.057534
228.47,205.0,24.1,0.057534
228.47,210.0,19.0,0.057534
228.47,215.0,14.5,0.057534
228.47,220.0,10.42,0.057534
228.47,225.0,6.75,0.057534
228.47,230.0,3.8,0.057534
228.47,235.0,1.9,0.057534
