action,ticker,shares,eur_amount,fee
SELL,1199.HK,2.6548672118251564,15.0,1.0
SELL,19H.F,0.8693492250626367,14.0,1.0
SELL,AAPL,0.062480478127816555,16.0,1.0
SELL,ABR,1.2776831594922033,15.0,1.0
SELL,AIR,0.13003900912322783,10.0,1.0
SELL,ARCC,0.6685768692904217,14.0,1.0
BUY,BATS.L,0.006547469151347267,26.0,0.0
SELL,BRK-B,0.02835672812441722,14.0,1.0
BUY,CSF.F,0.08824709077694044,22.0,1.0
SELL,CSWC,0.6153846153846154,14.0,1.0
SELL,DAU0.F,0.035410765637854676,10.0,1.0
SELL,E,0.3996574504100228,14.0,1.0
SELL,FSK,0.7792207985226718,12.0,1.0
SELL,FVJ.MU,1.5151514549448057,16.0,1.0
SELL,IMBBF,0.3388189763649406,14.0,1.0
BUY,ING,1.4156507891457988,36.0,1.0
SELL,JPM,0.048009217394667764,15.0,1.0
SELL,LGI,0.8498583753085123,15.0,1.0
BUY,LHX,0.1090320737247652,31.0,1.0
SELL,LTC,0.3982930125818803,14.0,1.0
SELL,MAERSK-B.CO,0.0010814986481266899,14.0,1.0
BUY,MO.BA,0.002093327518534671,48.0,1.0
SELL,NLY-PI,0.5481597297629123,14.0,1.0
SELL,OMF,0.24813895468461541,15.0,1.0
SELL,P5P.MU,0.4437869922657576,15.0,1.0
BUY,PST.MI,6.778822672251238,137.0,1.0
SELL,RIO,0.235663780681942,15.0,1.0
SELL,STMPA.PA,0.6257822457109123,15.0,1.0
SELL,TCPC,2.0537125050056604,13.0,1.0
SELL,TSLA,0.002303033139907506,1.0,1.0
BUY,TSM,0.08069544659787721,22.0,1.0
