,0
1199.HK,0.0
19H.F,1.2604921383079315e-15
AAPL,8.350871104230817e-16
ABR,2.2171343723365387e-16
ACA.PA,0.0
AIR,0.0
AMUN.PA,3.599187640721421e-15
ARCC,5.749940374177689e-15
BATS.L,0.0978492360328771
BRK-B,0.0
CSF.F,0.07777769440632727
CSWC,1.449957123972072e-16
DAU0.F,3.3438581401566983e-16
E,0.0
FSK,1.2542210799179407e-14
FVJ.MU,6.5770358138304215e-15
IMBBF,0.0
ING,0.12450070644502424
JPM,0.0
LGI,0.0
LHX,0.07629180019887628
LIN,0.0
LNG,2.3424483368110427e-15
LTC,0.0
MAERSK-B.CO,0.0
MDU,0.0
MO.BA,0.15594916537645734
NLY-PI,0.0
OMF,0.0
P5P.MU,1.9260009945456295e-15
PG,1.7918105600564183e-15
PST.MI,0.4143893153148069
RIO,0.0
STMPA.PA,2.788617212483114e-15
TCPC,9.464677156433918e-15
TSLA,0.0
TSM,0.05324208222557886
TTE,0.0
V,2.5453421852752115e-15
WAB,0.0
