,weight
TSLA,0.07000000049346397
BRK-B,0.07000000049346397
AAPL,0.07000000049346397
JPM,0.07000000049346397
E,0.07000000024044235
IMBBF,0.0700000002031571
DAU0.F,0.07000000017960815
1199.HK,0.07000000008924158
BATS.L,0.06999999981015391
ING,0.06999999973935515
PST.MI,0.06999999969446143
MO.BA,0.0699999994829338
CSF.F,0.06999999931027058
MAERSK-B.CO,0.06999999429402896
NLY-PI,0.020000000786532274
FSK,7.97319876692684e-10
TCPC,7.575366166117621e-10
19H.F,5.803795218055069e-10
ARCC,5.01553437136447e-10
ABR,4.578673267791571e-10
OMF,3.5396199797927185e-10
CSWC,3.23332276811103e-10
STMPA.PA,1.752056838176161e-10
RIO,1.2968565019549383e-10
FVJ.MU,7.909875451436983e-11
LGI,4.0017987690965513e-11
AIR,1.3059394869262476e-18
LTC,1.1992975825334079e-18
P5P.MU,5.518057955560669e-19
