asset,action,quantity,value_eur,fee_eur
AAPL,SELL,0,16.075821533079374,1.0
AIR,SELL,0,10.596138208350588,1.0
BATS.L,SELL,0,13.875478752987593,1.0
BRK-B,SELL,0,14.423158277579219,1.0
CSF.F,SELL,0,9.98799101376967,1.0
DAU0.F,SELL,0,9.889569316260927,1.0
E,SELL,0,14.547790653649548,1.0
IMBBF,SELL,0,14.440639890031512,1.0
ING,SELL,0,15.394318969250904,1.0
JPM,SELL,0,15.034003434835512,1.0
LGI,SELL,0,14.47783225298037,1.0
LTC,SELL,0,14.36294653138323,1.0
MAERSK-B.CO,SELL,0,14.151328009258629,1.0
MO.BA,SELL,0,15.478849729581244,1.0
NLY-PI,SELL,0,14.13301166940625,1.0
OMF,SELL,0,14.62394993593947,1.0
P5P.MU,SELL,0,15.033095366888638,1.0
PST.MI,SELL,-1,32.62986740515881,1.0
RIO,SELL,0,14.87863877206469,1.0
STMPA.PA,SELL,0,15.334765244686858,1.0
TCPC,SELL,-2,12.54224220935493,1.0
TSLA,SELL,0,1.0502111229849291,1.0
FSK,BUY,1,18.56708540229046,0.0
1199.HK,BUY,2,13.444874450792888,0.0
ABR,BUY,0,8.99275596300769,1.0
CSWC,BUY,0,8.218729251697209,1.0
ARCC,BUY,0,7.23918556457756,0.0
FVJ.MU,BUY,0,5.513956146180395,1.0
19H.F,BUY,0,1.9480998087071335,1.0
