date,ticker,type,amount
09/01/2025,RQ0.F,cash,44.28
09/01/2025,RQ0.F,cash,4.72
09/01/2025,RQ0.F,cash,1.5
13/01/2025,RQ0.F,cash,2.83
13/01/2025,RQ0.F,cash,16.17
16/01/2025,RQ0.F,cash,1.75
16/01/2025,RQ0.F,cash,13
23/01/2025,RQ0.F,cash,13
23/01/2025,RQ0.F,cash,2.37
03/02/2025,RQ0.F,cash,13
03/02/2025,RQ0.F,cash,5.08
10/02/2025,RQ0.F,cash,13
10/02/2025,RQ0.F,cash,1.9
17/02/2025,RQ0.F,cash,-42.2
17/02/2025,RQ0.F,cash,-5.8
17/02/2025,RQ0.F,cash,1.31
17/02/2025,RQ0.F,cash,13
24/02/2025,RQ0.F,cash,4.75
24/02/2025,RQ0.F,cash,13
27/02/2025,RQ0.F,cash,-4.02
27/02/2025,RQ0.F,cash,-4.98
03/03/2025,RQ0.F,cash,2.87
03/03/2025,RQ0.F,cash,1.75
13/03/2025,RQ0.F,cash,-4.54
13/03/2025,RQ0.F,cash,-125.2
17/03/2025,RQ0.F,cash,5
17/03/2025,RQ0.F,cash,1.98
24/03/2025,RQ0.F,cash,5
24/03/2025,RQ0.F,cash,4.54
02/04/2025,RQ0.F,cash,6.2
02/04/2025,RQ0.F,cash,3.9
02/04/2025,RQ0.F,cash,5
09/04/2025,RQ0.F,cash,5
09/04/2025,RQ0.F,cash,1.95
16/04/2025,RQ0.F,cash,1.39
16/04/2025,RQ0.F,cash,5
23/04/2025,RQ0.F,cash,5
23/04/2025,RQ0.F,cash,10.5
28/04/2025,RQ0.F,cash,-6.18
28/04/2025,RQ0.F,cash,-53.1
05/05/2025,RQ0.F,cash,6.78
05/05/2025,RQ0.F,cash,69.22
08/05/2025,RQ0.F,cash,-7.72
08/05/2025,RQ0.F,cash,-76.64
16/05/2025,RQ0.F,cash,10
23/05/2025,RQ0.F,cash,10
02/06/2025,RQ0.F,cash,10
16/06/2025,RQ0.F,cash,1
23/06/2025,RQ0.F,cash,1
23/06/2025,RQ0.F,cash,5.62
02/07/2025,RQ0.F,cash,1
02/07/2025,RQ0.F,cash,6.27
02/07/2025,RQ0.F,cash,7.68
09/07/2025,RQ0.F,cash,5.11
09/07/2025,RQ0.F,cash,1
16/07/2025,RQ0.F,cash,1
16/07/2025,RQ0.F,cash,4.88
23/07/2025,RQ0.F,cash,1
23/07/2025,RQ0.F,cash,3.15
04/08/2025,RQ0.F,cash,6.56
04/08/2025,RQ0.F,cash,12.78
04/08/2025,RQ0.F,cash,1
11/08/2025,RQ0.F,cash,6.45
11/08/2025,RQ0.F,cash,1
18/08/2025,RQ0.F,cash,1
18/08/2025,RQ0.F,cash,3.09
25/08/2025,RQ0.F,cash,1
25/08/2025,RQ0.F,cash,7.42
02/09/2025,RQ0.F,cash,9.72
02/09/2025,RQ0.F,cash,6.45
02/09/2025,RQ0.F,cash,1
09/09/2025,RQ0.F,cash,1
09/09/2025,RQ0.F,cash,7.42
16/09/2025,RQ0.F,cash,1
16/09/2025,RQ0.F,cash,8.73
23/09/2025,RQ0.F,cash,8.78
23/09/2025,34Q0.F,cash,45
