date,ticker,type,amount
16/06/2025,C6G.MU,cash,1
23/06/2025,C6G.MU,cash,1
02/07/2025,C6G.MU,cash,1
09/07/2025,C6G.MU,cash,1
16/07/2025,C6G.MU,cash,1
23/07/2025,C6G.MU,cash,1
04/08/2025,C6G.MU,cash,1
11/08/2025,C6G.MU,cash,1
18/08/2025,C6G.MU,cash,1
25/08/2025,C6G.MU,cash,1
02/09/2025,C6G.MU,cash,1
09/09/2025,C6G.MU,cash,1
16/09/2025,C6G.MU,cash,1
23/09/2025,C6G.MU,cash,1
16/06/2025,19H.F,cash,1
23/06/2025,19H.F,cash,1
02/07/2025,19H.F,cash,1
09/07/2025,19H.F,cash,1
16/07/2025,19H.F,cash,1
23/07/2025,19H.F,cash,1
04/08/2025,19H.F,cash,1
11/08/2025,19H.F,cash,1
18/08/2025,19H.F,cash,1
25/08/2025,19H.F,cash,1
02/09/2025,19H.F,cash,1
09/09/2025,19H.F,cash,1
16/09/2025,19H.F,cash,1
23/09/2025,19H.F,cash,1
16/06/2025,APC.F,cash,1
23/06/2025,APC.F,cash,1
02/07/2025,APC.F,cash,1
09/07/2025,APC.F,cash,1
16/07/2025,APC.F,cash,1
23/07/2025,APC.F,cash,1
04/08/2025,APC.F,cash,1
11/08/2025,APC.F,cash,1
18/08/2025,APC.F,cash,1
25/08/2025,APC.F,cash,1
02/09/2025,APC.F,cash,1
09/09/2025,APC.F,cash,1
16/09/2025,APC.F,cash,1
23/09/2025,APC.F,cash,1
16/06/2025,OWQ.F,cash,1
23/06/2025,OWQ.F,cash,1
02/07/2025,OWQ.F,cash,1
09/07/2025,OWQ.F,cash,1
16/07/2025,OWQ.F,cash,1
23/07/2025,OWQ.F,cash,1
04/08/2025,OWQ.F,cash,1
11/08/2025,OWQ.F,cash,1
18/08/2025,OWQ.F,cash,1
25/08/2025,OWQ.F,cash,1
02/09/2025,OWQ.F,cash,1
09/09/2025,OWQ.F,cash,1
16/09/2025,OWQ.F,cash,1
23/09/2025,OWQ.F,cash,1
16/09/2025,AIR.PA,cash,5
23/09/2025,AIR.PA,cash,5
16/06/2025,9A2.F,cash,1
23/06/2025,9A2.F,cash,1
02/07/2025,9A2.F,cash,1
09/07/2025,9A2.F,cash,1
16/07/2025,9A2.F,cash,1
23/07/2025,9A2.F,cash,1
04/08/2025,9A2.F,cash,1
11/08/2025,9A2.F,cash,1
18/08/2025,9A2.F,cash,1
25/08/2025,9A2.F,cash,1
02/09/2025,9A2.F,cash,1
09/09/2025,9A2.F,cash,1
16/09/2025,9A2.F,cash,1
23/09/2025,9A2.F,cash,1
16/06/2025,BMTA.F,cash,1
23/06/2025,BMTA.F,cash,1
02/07/2025,BMTA.F,cash,1
09/07/2025,BMTA.F,cash,1
16/07/2025,BMTA.F,cash,1
23/07/2025,BMTA.F,cash,1
04/08/2025,BMTA.F,cash,1
11/08/2025,BMTA.F,cash,1
18/08/2025,BMTA.F,cash,1
25/08/2025,BMTA.F,cash,1
02/09/2025,BMTA.F,cash,1
09/09/2025,BMTA.F,cash,1
16/09/2025,BMTA.F,cash,1
23/09/2025,BMTA.F,cash,1
16/06/2025,BRYN.DE,cash,1
23/06/2025,BRYN.DE,cash,1
02/07/2025,BRYN.DE,cash,1
09/07/2025,BRYN.DE,cash,1
16/07/2025,BRYN.DE,cash,1
23/07/2025,BRYN.DE,cash,1
04/08/2025,BRYN.DE,cash,1
11/08/2025,BRYN.DE,cash,1
18/08/2025,BRYN.DE,cash,1
25/08/2025,BRYN.DE,cash,1
02/09/2025,BRYN.DE,cash,1
09/09/2025,BRYN.DE,cash,1
16/09/2025,BRYN.DE,cash,1
23/09/2025,BRYN.DE,cash,1
16/09/2025,CSF.F,cash,5
23/09/2025,CSF.F,cash,5
16/06/2025,SFW.F,cash,1
23/06/2025,SFW.F,cash,1
02/07/2025,SFW.F,cash,1
09/07/2025,SFW.F,cash,1
16/07/2025,SFW.F,cash,1
23/07/2025,SFW.F,cash,1
04/08/2025,SFW.F,cash,1
11/08/2025,SFW.F,cash,1
18/08/2025,SFW.F,cash,1
25/08/2025,SFW.F,cash,1
02/09/2025,SFW.F,cash,1
09/09/2025,SFW.F,cash,1
16/09/2025,SFW.F,cash,1
23/09/2025,SFW.F,cash,1
16/09/2025,DAU0.F,cash,5
